,report_year,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,city,state,lat,lng,unemploymentRate
93,1976,333100.0,5514.0,98.0,309.0,2213.0,2894.0,12.0,1655.36,29.42,92.76,664.37,868.81,Oakland,CA,37.7904,-122.2166,7.699999999999999
94,1976,376522.0,2360.0,36.0,228.0,1326.0,770.0,12.0,626.79,9.56,60.55,352.17,204.5,Oklahoma City,OK,35.4676,-97.5136,7.699999999999999
95,1976,388592.0,2008.0,19.0,193.0,1008.0,788.0,12.0,516.74,4.89,49.67,259.4,202.78,Omaha,NE,41.2627,-96.0529,7.699999999999999
96,1976,116848.0,1118.0,17.0,98.0,676.0,327.0,12.0,956.8,14.55,83.87,578.53,279.85,Orlando,FL,28.4773,-81.337,7.699999999999999
97,1976,1916665.0,13113.0,338.0,764.0,4225.0,7786.0,12.0,684.16,17.63,39.86,220.43,406.23,Philadelphia,PA,40.0077,-75.1339,7.699999999999999
98,1976,669005.0,3856.0,53.0,240.0,2078.0,1485.0,12.0,576.38,7.92,35.87,310.61,221.97,Phoenix,AZ,33.5722,-112.0892,7.699999999999999
99,1976,487106.0,4621.0,62.0,287.0,1853.0,2419.0,12.0,948.66,12.73,58.92,380.41,496.61,Pittsburgh,PA,40.4397,-79.9763,7.699999999999999
100,1976,379818.0,4304.0,39.0,322.0,2030.0,1913.0,12.0,1133.17,10.27,84.78,534.47,503.66,Portland,OR,45.5371,-122.65,7.699999999999999
101,1976,148093.0,531.0,11.0,29.0,353.0,138.0,12.0,358.56,7.43,19.58,238.36,93.18,Raleigh,NC,35.8324,-78.6429,7.699999999999999
102,1976,260700.0,2799.0,52.0,192.0,1368.0,1187.0,12.0,1073.65,19.95,73.65,524.74,455.31,Sacramento,CA,38.5677,-121.4685,7.699999999999999
103,1976,175400.0,959.0,11.0,102.0,364.0,482.0,12.0,546.75,6.27,58.15,207.53,274.8,Salt Lake City,UT,40.7776,-111.9311,7.699999999999999
104,1976,753069.0,3285.0,119.0,263.0,1641.0,1262.0,12.0,436.22,15.8,34.92,217.91,167.58,San Antonio,TX,29.4632,-98.5238,7.699999999999999
105,1976,773400.0,4118.0,59.0,233.0,1555.0,2271.0,12.0,532.45,7.63,30.13,201.06,293.64,San Diego,CA,32.8313,-117.1222,7.699999999999999
106,1976,665000.0,10756.0,130.0,619.0,3379.0,6628.0,12.0,1617.44,19.55,93.08,508.12,996.69,San Francisco,CA,37.7558,-122.4449,7.699999999999999
107,1976,557700.0,2523.0,37.0,296.0,1223.0,967.0,12.0,452.39,6.63,53.08,219.29,173.39,San Jose,CA,37.3012,-121.848,7.699999999999999
108,1976,503500.0,4128.0,42.0,322.0,1601.0,2163.0,12.0,819.86,8.34,63.95,317.97,429.59,Seattle,WA,47.6211,-122.3244,7.699999999999999
109,1976,534206.0,9574.0,182.0,489.0,3600.0,5303.0,12.0,1792.19,34.07,91.54,673.9,992.69,St. Louis,MO,38.6359,-90.2451,7.699999999999999
110,1976,274568.0,2935.0,42.0,162.0,1706.0,1025.0,12.0,1068.95,15.3,59.0,621.34,373.31,Tampa,FL,27.9945,-82.4447,7.699999999999999
111,1976,340927.0,1464.0,24.0,136.0,750.0,554.0,12.0,429.42,7.04,39.89,219.99,162.5,Tucson,AZ,32.1541,-110.8787,7.699999999999999
112,1976,349516.0,1747.0,27.0,131.0,1197.0,392.0,12.0,499.83,7.72,37.48,342.47,112.16,Tulsa,OK,36.1283,-95.9042,7.699999999999999
113,1976,216176.0,481.0,12.0,59.0,253.0,157.0,12.0,222.5,5.55,27.29,117.03,72.63,Virginia Beach,VA,36.7335,-76.0435,7.699999999999999
114,1976,702000.0,10399.0,188.0,508.0,2659.0,7044.0,12.0,1481.34,26.78,72.36,378.77,1003.42,Washington,DC,38.9047,-77.0163,7.699999999999999
115,1976,256455.0,1114.0,19.0,111.0,470.0,514.0,12.0,434.38,7.41,43.28,183.27,200.43,Wichita,KS,37.6895,-97.3443,7.699999999999999
